Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,0.26901,0.27247,0.26853,0.27219,10982568.0,2025-01-01 00:59:59.999,2966002.05461,10868,6694248.0,1807865.52273
2025-01-01 01:00:00,0.27218,0.27245,0.26787,0.26828,8614956.0,2025-01-01 01:59:59.999,2326048.37463,9051,4152995.0,1121376.89594
2025-01-01 02:00:00,0.26828,0.27117,0.26821,0.27009,8661897.0,2025-01-01 02:59:59.999,2334445.2689,8560,5050229.0,1361360.99556
2025-01-01 03:00:00,0.27008,0.27044,0.26842,0.26932,7905989.0,2025-01-01 03:59:59.999,2127052.56829,6451,3787238.0,1018776.47615
2025-01-01 04:00:00,0.26931,0.26931,0.26776,0.26795,8300399.0,2025-01-01 04:59:59.999,2228008.33957,6712,3372506.0,904957.28831
2025-01-01 05:00:00,0.26796,0.275,0.26772,0.27283,16091932.0,2025-01-01 05:59:59.999,4379224.62213,13896,8614362.0,2343461.59309
2025-01-01 06:00:00,0.27284,0.27354,0.26962,0.27003,11468577.0,2025-01-01 06:59:59.999,3114556.52685,10577,5460941.0,1482999.73259
2025-01-01 07:00:00,0.27005,0.27025,0.26838,0.26869,6753951.0,2025-01-01 07:59:59.999,1816639.56966,6441,3242274.0,871997.17047
2025-01-01 08:00:00,0.26868,0.26937,0.26673,0.26684,10553917.0,2025-01-01 08:59:59.999,2827320.19315,10340,5015091.0,1343733.29098
2025-01-01 09:00:00,0.26685,0.26755,0.26433,0.26674,15024278.0,2025-01-01 09:59:59.999,3992275.58587,13898,6888997.0,1830726.87387
2025-01-01 10:00:00,0.26673,0.26785,0.26548,0.26562,8843288.0,2025-01-01 10:59:59.999,2357325.81605,7531,3492002.0,931267.50086
2025-01-01 11:00:00,0.26563,0.26977,0.26426,0.26806,15220128.0,2025-01-01 11:59:59.999,4061889.60297,13661,7255268.0,1936503.18599
2025-01-01 12:00:00,0.26804,0.2727,0.26722,0.27205,16093245.0,2025-01-01 12:59:59.999,4344165.23281,15343,7899931.0,2132810.8293
2025-01-01 13:00:00,0.27206,0.27393,0.27,0.27164,18724823.0,2025-01-01 13:59:59.999,5089036.10547,20978,8758825.0,2381047.67319
2025-01-01 14:00:00,0.27165,0.27439,0.2699,0.27328,16551036.0,2025-01-01 14:59:59.999,4510631.71429,20491,7559216.0,2059919.44406
2025-01-01 15:00:00,0.27327,0.2809,0.27188,0.27988,27791674.0,2025-01-01 15:59:59.999,7670130.54594,29361,15223093.0,4203037.69521
2025-01-01 16:00:00,0.27989,0.2961,0.2792,0.29088,145614385.0,2025-01-01 16:59:59.999,42133154.11948,188734,78973280.0,22835772.57543
2025-01-01 17:00:00,0.29089,0.29204,0.282,0.28986,55809055.0,2025-01-01 17:59:59.999,16004775.92801,60718,27419293.0,7861590.42377
2025-01-01 18:00:00,0.28986,0.29588,0.28844,0.2928,45475246.0,2025-01-01 18:59:59.999,13293190.786,48011,22009596.0,6434202.46932
2025-01-01 19:00:00,0.29277,0.29855,0.28931,0.29572,61816168.0,2025-01-01 19:59:59.999,18216159.20718,59171,28586508.0,8428175.73723
2025-01-01 20:00:00,0.2958,0.30062,0.29308,0.29365,43651203.0,2025-01-01 20:59:59.999,12937834.83048,42807,22831526.0,6768965.59021
2025-01-01 21:00:00,0.29361,0.29529,0.29102,0.29261,22074797.0,2025-01-01 21:59:59.999,6469813.72036,22396,11850135.0,3474172.15098
2025-01-01 22:00:00,0.2926,0.2957,0.29071,0.29506,16644042.0,2025-01-01 22:59:59.999,4869441.2948,14056,7721726.0,2259349.77718
2025-01-01 23:00:00,0.29506,0.29988,0.29361,0.2948,30174017.0,2025-01-01 23:59:59.999,8945657.0108,29682,13292774.0,3944691.08568
2025-01-02 00:00:00,0.29482,0.31,0.29476,0.29968,99346324.0,2025-01-02 00:59:59.999,30165538.6129,105465,54098933.0,16432379.81251
2025-01-02 01:00:00,0.29964,0.30206,0.29516,0.29548,27869587.0,2025-01-02 01:59:59.999,8337819.02193,33276,13084313.0,3917346.05853
2025-01-02 02:00:00,0.29552,0.29718,0.29264,0.29565,23215952.0,2025-01-02 02:59:59.999,6842486.39643,22170,12372496.0,3646871.12653
2025-01-02 03:00:00,0.29564,0.29693,0.29434,0.29536,13156273.0,2025-01-02 03:59:59.999,3888757.50131,13902,6955305.0,2056001.83232
2025-01-02 04:00:00,0.29536,0.29641,0.29269,0.29413,18256944.0,2025-01-02 04:59:59.999,5378013.79489,16344,8602062.0,2534711.64467
2025-01-02 05:00:00,0.29413,0.29428,0.28958,0.28991,14894002.0,2025-01-02 05:59:59.999,4350863.65147,14518,7013538.0,2049160.01432
2025-01-02 06:00:00,0.28992,0.291,0.28513,0.28696,23817457.0,2025-01-02 06:59:59.999,6842101.82967,21318,11198811.0,3217384.00587
2025-01-02 07:00:00,0.28697,0.28893,0.28631,0.28862,16497894.0,2025-01-02 07:59:59.999,4744026.64564,14171,9255649.0,2661828.61547
2025-01-02 08:00:00,0.28863,0.29144,0.2875,0.29123,17551731.0,2025-01-02 08:59:59.999,5081959.59466,17831,9338509.0,2704058.99738
2025-01-02 09:00:00,0.29123,0.29561,0.29054,0.29476,21427767.0,2025-01-02 09:59:59.999,6282498.8245,26300,12229530.0,3585508.13228
2025-01-02 10:00:00,0.29477,0.2952,0.29196,0.29328,20179289.0,2025-01-02 10:59:59.999,5920908.66025,19942,9596214.0,2815389.78348
2025-01-02 11:00:00,0.29323,0.29414,0.29171,0.29372,11767224.0,2025-01-02 11:59:59.999,3448134.57167,12135,5497717.0,1610764.48017
2025-01-02 12:00:00,0.29375,0.29734,0.2935,0.29533,19849354.0,2025-01-02 12:59:59.999,5866552.45828,19896,10619724.0,3138596.53518
2025-01-02 13:00:00,0.29534,0.29583,0.29099,0.29248,29195325.0,2025-01-02 13:59:59.999,8584718.20029,24786,13565480.0,3991056.5189
2025-01-02 14:00:00,0.29248,0.29549,0.28902,0.29199,33777004.0,2025-01-02 14:59:59.999,9854426.7121,37748,16550826.0,4829664.43192
2025-01-02 15:00:00,0.29197,0.29234,0.28826,0.28984,21125792.0,2025-01-02 15:59:59.999,6125736.97052,23040,11000596.0,3190337.95717
