Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,3337.78,3365.71,3335.84,3363.7,8894.4444,2025-01-01 00:59:59.999,29821272.008211,54290,5447.5324,18265028.781159
2025-01-01 01:00:00,3363.69,3366.4,3342.67,3346.54,6138.1376,2025-01-01 01:59:59.999,20594980.615146,46722,3381.6276,11348564.273757
2025-01-01 02:00:00,3346.54,3368.42,3346.35,3362.61,8775.81,2025-01-01 02:59:59.999,29461419.591325,44926,4749.999,15945033.486324
2025-01-01 03:00:00,3362.61,3363.72,3351.0,3355.2,4025.4646,2025-01-01 03:59:59.999,13514045.153526,22334,2120.5609,7118731.551924
2025-01-01 04:00:00,3355.2,3356.61,3339.45,3341.14,4626.6506,2025-01-01 04:59:59.999,15488161.894969,22341,2331.6731,7805696.979522
2025-01-01 05:00:00,3341.14,3351.57,3340.02,3345.41,3247.0621,2025-01-01 05:59:59.999,10867391.533464,21388,1894.0039,6338939.554774
2025-01-01 06:00:00,3345.41,3348.0,3336.88,3346.6,6325.1491,2025-01-01 06:59:59.999,21140695.620565,25641,2074.2864,6934002.717033
2025-01-01 07:00:00,3346.61,3350.49,3339.35,3347.12,5869.4211,2025-01-01 07:59:59.999,19625068.233604,19809,3939.0253,13171481.48967
2025-01-01 08:00:00,3347.11,3348.84,3331.56,3337.01,8469.9751,2025-01-01 08:59:59.999,28278767.529896,46052,3837.9354,12812434.753562
2025-01-01 09:00:00,3337.0,3341.0,3313.88,3334.64,18722.6924,2025-01-01 09:59:59.999,62229421.935142,83422,8514.2489,28301959.23416
2025-01-01 10:00:00,3334.83,3338.82,3325.7,3326.69,5694.9502,2025-01-01 10:59:59.999,18977736.862663,37356,2123.9246,7079453.78606
2025-01-01 11:00:00,3326.69,3348.35,3323.71,3341.0,6732.5827,2025-01-01 11:59:59.999,22454456.62237,44031,4415.7242,14726137.391435
2025-01-01 12:00:00,3341.01,3352.31,3338.58,3347.46,5866.8953,2025-01-01 12:59:59.999,19637051.889393,41652,3404.9374,11397019.591878
2025-01-01 13:00:00,3347.46,3353.5,3332.51,3343.37,6632.2317,2025-01-01 13:59:59.999,22160117.15103,42125,3538.8257,11823762.262911
2025-01-01 14:00:00,3343.37,3359.37,3328.2,3345.86,10728.9812,2025-01-01 14:59:59.999,35871017.645023,92956,5302.2369,17732886.056626
