Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,2.0836,2.1125,2.0811,2.1106,8271344.0,2025-01-01 00:59:59.999,17374141.5966,33860,5160045.0,10841067.4179
2025-01-01 01:00:00,2.1106,2.1112,2.0929,2.0943,4301257.0,2025-01-01 01:59:59.999,9040716.9652,22246,2116499.0,4450890.1929
2025-01-01 02:00:00,2.0944,2.106,2.0929,2.1058,3680119.0,2025-01-01 02:59:59.999,7732289.5671,17514,2200867.0,4625161.4601
2025-01-01 03:00:00,2.1057,2.1087,2.1003,2.1069,1788392.0,2025-01-01 03:59:59.999,3763727.8986,12375,953781.0,2007192.9417
2025-01-01 04:00:00,2.1069,2.1131,2.1003,2.1027,2890478.0,2025-01-01 04:59:59.999,6086947.5778,17188,1190500.0,2506851.5079
2025-01-01 05:00:00,2.1028,2.1494,2.0999,2.1358,10844247.0,2025-01-01 05:59:59.999,23082408.6488,45038,6212507.0,13225645.9317
2025-01-01 06:00:00,2.1358,2.1474,2.1303,2.1439,6898622.0,2025-01-01 06:59:59.999,14754481.5311,33099,3458466.0,7397621.0025
2025-01-01 07:00:00,2.144,2.144,2.1244,2.1246,4690301.0,2025-01-01 07:59:59.999,10004707.215,22527,1609947.0,3435079.1818
2025-01-01 08:00:00,2.1246,2.135,2.1081,2.1103,6392440.0,2025-01-01 08:59:59.999,13551603.4666,28240,2640419.0,5597116.678
2025-01-01 09:00:00,2.1103,2.1164,2.0901,2.1052,9439821.0,2025-01-01 09:59:59.999,19820610.556,40126,3944120.0,8285874.7672
2025-01-01 10:00:00,2.1053,2.1184,2.1053,2.109,5102665.0,2025-01-01 10:59:59.999,10774685.5179,21523,3064654.0,6471504.254
2025-01-01 11:00:00,2.109,2.1439,2.1021,2.1357,8875657.0,2025-01-01 11:59:59.999,18891600.5126,42072,4799963.0,10213168.2717
2025-01-01 12:00:00,2.1358,2.1737,2.1312,2.1679,15511957.0,2025-01-01 12:59:59.999,33443460.0079,61748,8409400.0,18133100.1115
2025-01-01 13:00:00,2.1679,2.185,2.1587,2.1653,14886067.0,2025-01-01 13:59:59.999,32328680.884,63006,7192557.0,15631791.5543
2025-01-01 14:00:00,2.1653,2.1855,2.1605,2.174,12290672.0,2025-01-01 14:59:59.999,26730179.2272,54613,7076106.0,15393311.9907
2025-01-01 15:00:00,2.174,2.234,2.1626,2.2283,22707165.0,2025-01-01 15:59:59.999,50067887.0422,91807,12014242.0,26494475.541
2025-01-01 16:00:00,2.2283,2.2842,2.2219,2.2635,39073764.0,2025-01-01 16:59:59.999,88310688.2739,169615,19478249.0,44024839.5213
2025-01-01 17:00:00,2.2635,2.2659,2.2114,2.2596,28056973.0,2025-01-01 17:59:59.999,62744341.5256,106585,13952381.0,31211495.892
2025-01-01 18:00:00,2.2596,2.3333,2.2482,2.322,32004482.0,2025-01-01 18:59:59.999,73540586.431,128301,16445527.0,37783250.7114
2025-01-01 19:00:00,2.3219,2.342,2.2884,2.3172,34931200.0,2025-01-01 19:59:59.999,80816584.9253,125655,16768840.0,38825920.1191
2025-01-01 20:00:00,2.3172,2.3196,2.2957,2.3068,13445771.0,2025-01-01 20:59:59.999,31014964.2533,63573,6349425.0,14648772.6931
2025-01-01 21:00:00,2.3067,2.33,2.2867,2.3207,21553733.0,2025-01-01 21:59:59.999,49813277.8952,76912,11304493.0,26134467.7558
2025-01-01 22:00:00,2.3205,2.3545,2.2982,2.3493,17779448.0,2025-01-01 22:59:59.999,41370269.8531,61330,8941495.0,20820774.0314
2025-01-01 23:00:00,2.3494,2.3521,2.314,2.3328,15353699.0,2025-01-01 23:59:59.999,35773218.9431,64570,7445653.0,17345814.0119
2025-01-02 00:00:00,2.3329,2.4522,2.3297,2.3887,67760691.0,2025-01-02 00:59:59.999,163310083.1298,254632,34946819.0,84197325.0924
2025-01-02 01:00:00,2.3887,2.4119,2.3707,2.4008,25466622.0,2025-01-02 01:59:59.999,61007624.7829,96641,11805552.0,28284657.0092
2025-01-02 02:00:00,2.4007,2.4164,2.3868,2.4054,17588435.0,2025-01-02 02:59:59.999,42231041.4071,65245,8183468.0,19653888.5034
2025-01-02 03:00:00,2.4053,2.4299,2.4001,2.4249,14477747.0,2025-01-02 03:59:59.999,34976537.2177,52989,7754323.0,18748396.4584
2025-01-02 04:00:00,2.4249,2.4282,2.399,2.4001,14126612.0,2025-01-02 04:59:59.999,34125954.7215,62150,6660549.0,16089669.6681
2025-01-02 05:00:00,2.4001,2.4019,2.3658,2.3725,14665813.0,2025-01-02 05:59:59.999,34974983.6169,86162,6074842.0,14491708.6142
2025-01-02 06:00:00,2.3725,2.383,2.3434,2.3545,22568926.0,2025-01-02 06:59:59.999,53293950.7101,95670,9033927.0,21339355.9331
2025-01-02 07:00:00,2.3546,2.3742,2.348,2.3672,13298437.0,2025-01-02 07:59:59.999,31416333.3665,47745,7323189.0,17301010.1735
